Date,Nominal Price,Inflation Adjusted Gas Price
1918,$0.25 ,$3.92 
1919,$0.25 ,$3.42 
1920,$0.30 ,$3.55 
1921,$0.26 ,$3.44 
1922,$0.25 ,$3.52 
1923,$0.22 ,$3.04 
1924,$0.21 ,$2.90 
1925,$0.22 ,$2.97 
1926,$0.23 ,$3.07 
1927,$0.21 ,$2.85 
1928,$0.21 ,$2.90 
1929,$0.21 ,$2.90 
1930,$0.20 ,$2.83 
1931,$0.17 ,$2.65 
1932,$0.18 ,$3.11 
1933,$0.18 ,$3.27 
1934,$0.19 ,$3.35 
1935,$0.19 ,$3.28 
1936,$0.19 ,$3.23 
1937,$0.20 ,$3.29 
1938,$0.20 ,$3.35 
1939,$0.19 ,$3.23 
1940,$0.18 ,$3.04 
1941,$0.19 ,$3.06 
1942,$0.20 ,$2.90 
1943,$0.21 ,$2.87 
1944,$0.21 ,$2.82 
1945,$0.21 ,$2.76 
1946,$0.21 ,$2.55 
1947,$0.23 ,$2.44 
1948,$0.26 ,$2.55 
1949,$0.27 ,$2.68 
1950,$0.27 ,$2.65 
1951,$0.27 ,$2.46 
1952,$0.27 ,$2.41 
1953,$0.29 ,$2.57 
1954,$0.29 ,$2.55 
1955,$0.29 ,$2.56 
1956,$0.30 ,$2.61 
1957,$0.31 ,$2.61 
1958,$0.30 ,$2.46 
1959,$0.30 ,$2.44 
1960,$0.31 ,$2.48 
1961,$0.31 ,$2.45 
1962,$0.31 ,$2.43 
1963,$0.30 ,$2.32 
1964,$0.30 ,$2.29 
1965,$0.31 ,$2.33 
1966,$0.32 ,$2.34 
1967,$0.33 ,$2.34 
1968,$0.34 ,$2.31 
1969,$0.35 ,$2.26 
1970,$0.36 ,$2.19 
1971,$0.36 ,$2.10 
1972,$0.36 ,$2.04 
1973,$0.39 ,$2.08 
1974,$0.53 ,$2.54 
1975,$0.57 ,$2.51 
1976,$0.60 ,$2.49 
1977,$0.64 ,$2.50 
1978,$0.65 ,$2.36 
1979,$0.88 ,$2.87 
1980,$1.22 ,$3.50 
1981,$1.35 ,$3.51 
1982,$1.28 ,$3.14 
1983,$1.23 ,$2.92 
1984,$1.20 ,$2.73 
1985,$1.20 ,$2.64 
1986,$0.93 ,$2.01 
1987,$0.96 ,$2.00 
1988,$0.96 ,$1.92 
1989,$1.06 ,$2.02 
1990,$1.12 ,$2.03 
1991,$1.10 ,$1.91 
1992,$1.09 ,$1.83 
1993,$1.07 ,$1.75 
1994,$1.07 ,$1.71 
1995,$1.10 ,$1.71 
1996,$1.19 ,$1.80 
1997,$1.19 ,$1.75 
1998,$1.02 ,$1.48 
1999,$1.12 ,$1.58 
2000,$1.46 ,$2.01 
2001,$1.39 ,$1.86 
2002,$1.31 ,$1.72 
2003,$1.51 ,$1.95 
2004,$1.81 ,$2.26 
2005,$2.24 ,$2.71 
2006,$2.53 ,$2.97 
2007,$2.77 ,$3.16 
2008,$3.22 ,$3.54 
2009,$2.31 ,$2.54 
2010,$2.74 ,$2.97 
2011,$3.48 ,$3.65 
2012,$3.55 ,$3.66 
2013,$3.44 ,$3.50 
2014,$3.30 ,$3.30 
2015,$2.36 ,$2.36 
